Date,Name,Year,Letterboxd URI,Rating
2021-06-18,Drive,2011,https://boxd.it/IG,4
2021-06-18,The Terminal,2004,https://boxd.it/2a2O,3
2021-06-18,Cast Away,2000,https://boxd.it/20i8,4
2021-06-18,Burning,2018,https://boxd.it/hHUa,3
2021-06-18,mid90s,2018,https://boxd.it/fxIa,5
2021-06-18,Before Sunset,2004,https://boxd.it/2bcg,4
2021-06-18,Catch Me If You Can,2002,https://boxd.it/29VS,4
2021-06-18,It's Kind of a Funny Story,2010,https://boxd.it/Tfa,3
2021-06-18,The Breadwinner,2017,https://boxd.it/frLs,5
2021-06-18,The Wind Rises,2013,https://boxd.it/4JQS,4
2021-06-18,Isle of Dogs,2018,https://boxd.it/dZrW,4
2021-06-18,Porco Rosso,1992,https://boxd.it/1Tp2,4
2021-06-18,Loving Vincent,2017,https://boxd.it/biIQ,4
2021-06-18,The Green Mile,1999,https://boxd.it/2agG,4
2021-06-18,Beasts of No Nation,2015,https://boxd.it/8Lp8,4
2021-06-18,Fury,2014,https://boxd.it/6JwC,4
2021-06-18,Snowpiercer,2013,https://boxd.it/3Icg,4
2021-06-21,Luca,2021,https://boxd.it/ipjC,4
2021-06-21,The Game,1997,https://boxd.it/26vC,2.5
2021-06-21,Life Itself,2018,https://boxd.it/fUda,2.5
2021-06-21,Tokyo Godfathers,2003,https://boxd.it/1Qg2,4.5
2021-06-21,Se7en,1995,https://boxd.it/29zs,3
2021-06-21,The Pianist,2002,https://boxd.it/2aqc,4
2021-06-21,Straight Outta Compton,2015,https://boxd.it/8rMc,4
2021-06-23,Captain Fantastic,2016,https://boxd.it/b2K2,4
2021-06-23,Onward,2020,https://boxd.it/io92,5
2021-06-23,Raya and the Last Dragon,2021,https://boxd.it/jbkI,3.5
2021-06-23,Kubo and the Two Strings,2016,https://boxd.it/a4wE,3.5
2021-06-23,Whiplash,2014,https://boxd.it/7bQA,4
2021-06-23,Rushmore,1998,https://boxd.it/1TAO,4.5
2021-06-25,Brokeback Mountain,2005,https://boxd.it/2b2q,4
2021-06-26,True Grit,2010,https://boxd.it/Sog,3
2021-06-26,Bottle Rocket,1996,https://boxd.it/1PDa,3
2021-06-27,Magnolia,1999,https://boxd.it/2aze,5
2021-06-29,The Shape of Water,2017,https://boxd.it/dZ5m,3.5
2021-06-29,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,3
2021-06-29,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS,3
2021-06-29,Pacific Rim,2013,https://boxd.it/2cB2,3.5
2021-06-29,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,4
2021-06-29,The Polar Express,2004,https://boxd.it/23am,3.5
2021-07-03,Euphoria: Trouble Don't Last Always,2020,https://boxd.it/ta4a,5
2021-07-03,Euphoria: F*ck Anyone Who’s Not a Sea Blob,2021,https://boxd.it/tMkU,5
2021-07-04,Ratatouille,2007,https://boxd.it/27ww,5
2021-07-04,Where the Wild Things Are,2009,https://boxd.it/1K0C,2.5
2021-07-08,Never Rarely Sometimes Always,2020,https://boxd.it/lWJk,4
2021-07-10,Source Code,2011,https://boxd.it/fdo,3
2021-07-13,The Shining,1980,https://boxd.it/29Nu,5
2021-07-20,Doctor Sleep,2019,https://boxd.it/i5vI,2.5
2021-07-23,Godzilla vs. Kong,2021,https://boxd.it/e0qK,2
2021-08-29,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,3
2021-08-29,Prometheus,2012,https://boxd.it/2s9e,4
2021-08-30,Alien: Covenant,2017,https://boxd.it/49UY,3.5
2021-10-01,The Hunt,2012,https://boxd.it/3wEC,5
2021-10-05,In the Mood for Love,2000,https://boxd.it/29tE,4
2021-10-05,The Master,2012,https://boxd.it/2cBG,5
2021-10-05,The Host,2006,https://boxd.it/28ZY,3
2021-10-05,Collateral,2004,https://boxd.it/28F0,2
2021-10-05,Boogie Nights,1997,https://boxd.it/23um,5
2021-10-21,Amour,2012,https://boxd.it/34Q6,4
2021-10-21,The Many Saints of Newark,2021,https://boxd.it/j356,1
2021-11-13,Kong: Skull Island,2017,https://boxd.it/9ewM,2
2021-11-28,"I, Daniel Blake",2016,https://boxd.it/d0xa,2
2021-12-10,Last Night in Soho,2021,https://boxd.it/lbJC,4
2021-12-13,The Father,2020,https://boxd.it/m8Ie,5
2021-12-14,"tick, tick...BOOM!",2021,https://boxd.it/jz2e,3.5
2021-12-15,The Power of the Dog,2021,https://boxd.it/m99E,3
2021-12-15,A Cop Movie,2021,https://boxd.it/qdMI,3
2021-12-16,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2021-12-19,Into the Wild,2007,https://boxd.it/22m2,3.5
2021-12-20,The French Dispatch,2021,https://boxd.it/jLP8,4.5
2021-12-25,The Matrix Reloaded,2003,https://boxd.it/2a1c,3
2021-12-27,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3
2021-12-31,C'mon C'mon,2021,https://boxd.it/nrI0,5
2022-01-03,Bo Burnham: Inside,2021,https://boxd.it/v2uy,3
2022-01-04,Don't Look Up,2021,https://boxd.it/o0Hc,3
2022-01-07,Encanto,2021,https://boxd.it/kPRu,3
2022-01-08,Nobody,2021,https://boxd.it/mLqS,1.5
2022-01-09,Paddleton,2019,https://boxd.it/j4YQ,4.5
2022-01-12,Logan Lucky,2017,https://boxd.it/dZrs,1
2022-01-23,The Darjeeling Limited,2007,https://boxd.it/24as,3.5
2022-01-23,Blue Valentine,2010,https://boxd.it/MxG,2
2022-01-24,Eighth Grade,2018,https://boxd.it/hDMG,3.5
2022-01-25,I'm No Longer Here,2019,https://boxd.it/lqSu,5
2022-01-25,Incendies,2010,https://boxd.it/Msm,5
2022-02-02,Midnight in Paris,2011,https://boxd.it/i4a,3
2022-02-08,Inherent Vice,2014,https://boxd.it/5hla,3
2022-02-10,Nightmare Alley,2021,https://boxd.it/m0HC,4.5
2022-02-14,Pirates of the Caribbean: On Stranger Tides,2011,https://boxd.it/27Z4,2
2022-02-14,Spider-Man: Homecoming,2017,https://boxd.it/aboM,2
2022-02-14,Iron Man 3,2013,https://boxd.it/2cBQ,1
