Date,Name,Year,Letterboxd URI
2021-05-02,City of God,2002,https://boxd.it/2a2a
2021-05-02,The Royal Tenenbaums,2001,https://boxd.it/1YHU
2021-05-02,Amores Perros,2000,https://boxd.it/2bfu
2021-05-02,Gladiator,2000,https://boxd.it/2b9m
2021-05-02,Toy Story 2,1999,https://boxd.it/29qq
2021-05-02,American Beauty,1999,https://boxd.it/71Y
2021-05-02,The Sixth Sense,1999,https://boxd.it/29Js
2021-05-02,The Matrix,1999,https://boxd.it/2a1m
2021-05-02,Saving Private Ryan,1998,https://boxd.it/29ro
2021-05-02,The Big Lebowski,1998,https://boxd.it/2b6C
2021-05-02,Fargo,1996,https://boxd.it/2aHM
2021-05-02,Trainspotting,1996,https://boxd.it/29XY
2021-05-02,Se7en,1995,https://boxd.it/29zs
2021-05-02,Babe,1995,https://boxd.it/1Yh8
2021-05-02,Braveheart,1995,https://boxd.it/2aTI
2021-05-02,The Usual Suspects,1995,https://boxd.it/29XE
2021-05-02,Schindler's List,1993,https://boxd.it/2aq2
2021-05-02,Jurassic Park,1993,https://boxd.it/2aA2
2021-05-02,Groundhog Day,1993,https://boxd.it/2b3e
2021-05-02,GoodFellas,1990,https://boxd.it/29FA
2021-05-02,Rain Man,1988,https://boxd.it/2avw
2021-05-02,Cinema Paradiso,1988,https://boxd.it/1UlA
2021-05-02,Top Gun,1986,https://boxd.it/29JC
2021-05-02,Back to the Future,1985,https://boxd.it/2b8e
2021-05-02,Scarface,1983,https://boxd.it/2b7g
2021-05-02,Return of the Jedi,1983,https://boxd.it/27Vm
2021-05-02,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G
2021-05-02,Raiders of the Lost Ark,1981,https://boxd.it/2bbs
2021-05-02,The Empire Strikes Back,1980,https://boxd.it/27Vw
2021-05-02,Alien,1979,https://boxd.it/2awY
2021-05-02,Star Wars,1977,https://boxd.it/72s
2021-05-02,Rocky,1976,https://boxd.it/28Uk
2021-05-03,The Hateful Eight,2015,https://boxd.it/8gw8
2021-05-03,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm
2021-05-03,Soul,2020,https://boxd.it/ioLA
2021-05-03,Get Out,2017,https://boxd.it/eOCm
2021-05-03,Interstellar,2014,https://boxd.it/4VZ8
2021-05-03,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ
2021-05-03,School of Rock,2003,https://boxd.it/28xK
2021-05-03,Collateral,2004,https://boxd.it/28F0
